materi,ujian,tahun,semester,teori,campuran,analisis
Probabilitas - Penentuan Peluang Tanpa Statistika,UTS,2009,1,0,0,2
Probabilitas - Penentuan Peluang dengan Statistika,UTS,2009,1,0,0,2
Statistika - Parameter Populasi,UTS,2009,1,0,0,1
Probabilitas - Penentuan Peluang dengan Statistika,UAS,2009,1,0,0,1
Statistika - Parameter Populasi,UAS,2009,1,0,0,2
Statistika - Pengecekan Hipotesis,UAS,2009,1,0,0,2
Probabilitas - Penentuan Peluang Tanpa Statistika,UTS,2010,1,0,0,2
Probabilitas - Penentuan Peluang dengan Statistika,UTS,2010,1,0,0,2
Statistika - Parameter Populasi,UTS,2010,1,0,0,1
Probabilitas - Penentuan Peluang dengan Statistika,UAS,2010,1,0,0,1
Statistika - Parameter Populasi,UAS,2010,1,0,0,2
Statistika - Pengecekan Hipotesis,UAS,2010,1,0,0,2
Probabilitas - Penentuan Peluang Tanpa Statistika,UTS,2011,1,0,0,2
Probabilitas - Penentuan Peluang dengan Statistika,UTS,2011,1,0,0,2
Statistika - Parameter Populasi,UTS,2011,1,0,0,1
Probabilitas - Penentuan Peluang dengan Statistika,UAS,2011,1,0,0,1
Statistika - Parameter Populasi,UAS,2011,1,0,0,2
Statistika - Pengecekan Hipotesis,UAS,2011,1,0,0,2
Probabilitas - Penentuan Peluang Tanpa Statistika,UTS,2012,1,999,999,999
Probabilitas - Penentuan Peluang dengan Statistika,UTS,2012,1,999,999,999
Statistika - Parameter Populasi,UTS,2012,1,999,999,999
Statistika - Pengecekan Hipotesis,UTS,2012,1,999,999,999
Probabilitas - Penentuan Peluang dengan Statistika,UAS,2012,1,0,0,1
Statistika - Parameter Populasi,UAS,2012,1,0,0,2
Statistika - Pengecekan Hipotesis,UAS,2012,1,0,0,2
Probabilitas - Penentuan Peluang Tanpa Statistika,UTS,2013,1,0,0,2
Probabilitas - Penentuan Peluang dengan Statistika,UTS,2013,1,0,0,3
Probabilitas - Penentuan Peluang Tanpa Statistika,UAS,2013,1,999,999,999
Probabilitas - Penentuan Peluang dengan Statistika,UAS,2013,1,999,999,999
Statistika - Parameter Populasi,UAS,2013,1,999,999,999
Statistika - Pengecekan Hipotesis,UAS,2013,1,999,999,999